Year,Month,State,County,Rate
2015,August,Michigan,Livingston County,4.9
2015,August,Michigan,Clare County,6.3
2015,August,Michigan,Macomb County,6.2
2015,August,Michigan,Baraga County,7.7
2015,August,Michigan,Mason County,4.5
2015,August,Michigan,Eaton County,3.9
2015,August,Michigan,Calhoun County,4.5
2015,August,Michigan,Iosco County,5.8
2015,August,Michigan,Benzie County,5
2015,August,Michigan,Alcona County,6.3
2015,August,Michigan,Alger County,6.2
2015,August,Michigan,Gladwin County,6
2015,August,Michigan,Huron County,4.4
2015,August,Michigan,Mecosta County,5.4
2015,August,Michigan,Menominee County,4.8
2015,August,Michigan,Marquette County,5.5
2015,August,Michigan,Gratiot County,4.6
2015,August,Michigan,Kalkaska County,5.8
2015,August,Michigan,Montmorency County,7.4
2015,August,Michigan,Saint Joseph County,3.8
2015,August,Michigan,Charlevoix County,4.2
2015,August,Michigan,Mackinac County,2.9
2015,August,Michigan,Washtenaw County,3.4
2015,August,Michigan,Dickinson County,4.7
2015,August,Michigan,Barry County,3.6
2015,August,Michigan,Arenac County,6.6
2015,August,Michigan,Tuscola County,5.5
2015,August,Michigan,Oscoda County,6.6
2015,August,Michigan,Wayne County,7.7
2015,August,Michigan,Roscommon County,7
2015,August,Michigan,Alpena County,5.1
2015,August,Michigan,Jackson County,4.6
2015,August,Michigan,Saginaw County,4.9
2015,August,Michigan,Missaukee County,5
2015,August,Michigan,Genesee County,5.3
2015,August,Michigan,Hillsdale County,4.6
2015,August,Michigan,Cheboygan County,3.8
2015,August,Michigan,Wexford County,5.3
2015,August,Michigan,Berrien County,4.6
2015,August,Michigan,Oceana County,5.6
2015,August,Michigan,Oakland County,5.2
2015,August,Michigan,Lapeer County,6.9
2015,August,Michigan,Cass County,4.4
2015,August,Michigan,Allegan County,3.4
2015,August,Michigan,Crawford County,6.1
2015,August,Michigan,Bay County,4.8
2015,August,Michigan,Emmet County,4.7
2015,August,Michigan,Grand Traverse County,3.5
2015,August,Michigan,Isabella County,4.2
2015,August,Michigan,Houghton County,5.3
2015,August,Michigan,Muskegon County,5.2
2015,August,Michigan,Lake County,7
