Year,Month,State,County,Rate
2015,August,Michigan,Washtenaw County,3.4
2015,July,Michigan,Washtenaw County,4.7
2014,February,Michigan,Washtenaw County,5.2
2014,October,Michigan,Washtenaw County,4.2
2014,March,Michigan,Washtenaw County,5.2
2014,August,Michigan,Washtenaw County,5
2014,May,Michigan,Washtenaw County,5.4
2014,January,Michigan,Washtenaw County,5.1
2014,June,Michigan,Washtenaw County,5.5
2014,September,Michigan,Washtenaw County,4.6
2014,December,Michigan,Washtenaw County,3.5
2014,July,Michigan,Washtenaw County,6.3
2016,February,Michigan,Washtenaw County,2.9
2016,October,Michigan,Washtenaw County,3.5
2016,March,Michigan,Washtenaw County,3
2016,August,Michigan,Washtenaw County,3.5
2016,May,Michigan,Washtenaw County,3.2
2016,January,Michigan,Washtenaw County,2.9
2016,June,Michigan,Washtenaw County,3.5
2016,September,Michigan,Washtenaw County,3.1
2016,April,Michigan,Washtenaw County,2.7
2016,December,Michigan,Washtenaw County,2.6
2016,July,Michigan,Washtenaw County,4.1
2016,November,Michigan,Washtenaw County,3
2011,February,Michigan,Washtenaw County,6.7
2011,October,Michigan,Washtenaw County,6.2
2011,March,Michigan,Washtenaw County,7
2011,August,Michigan,Washtenaw County,7.3
2011,May,Michigan,Washtenaw County,7.1
2011,January,Michigan,Washtenaw County,7
2011,June,Michigan,Washtenaw County,8
2011,September,Michigan,Washtenaw County,6.8
2011,April,Michigan,Washtenaw County,6.4
2011,December,Michigan,Washtenaw County,5.6
2011,July,Michigan,Washtenaw County,8.4
2011,November,Michigan,Washtenaw County,5.5
2010,February,Michigan,Washtenaw County,8.5
2010,October,Michigan,Washtenaw County,7.1
2010,March,Michigan,Washtenaw County,8.7
2010,August,Michigan,Washtenaw County,8.3
2010,May,Michigan,Washtenaw County,8.4
2010,January,Michigan,Washtenaw County,8.7
2010,June,Michigan,Washtenaw County,8.9
2010,September,Michigan,Washtenaw County,7.6
2010,April,Michigan,Washtenaw County,8.1
2010,December,Michigan,Washtenaw County,6.6
2010,July,Michigan,Washtenaw County,9.5
2010,November,Michigan,Washtenaw County,6.8
2013,February,Michigan,Washtenaw County,5.6
2013,October,Michigan,Washtenaw County,5.6
2013,March,Michigan,Washtenaw County,5.6
2013,August,Michigan,Washtenaw County,6.2
2013,May,Michigan,Washtenaw County,6.2
2013,January,Michigan,Washtenaw County,6
2013,June,Michigan,Washtenaw County,7
2013,September,Michigan,Washtenaw County,5.6
